period_type,period,visibility_score,accuracy_score,trust_score,discovery_score,issue_volume,capital_one_share,chase_share,amex_share,discover_share,boa_share
monthly,2025-10,52,60,58,57,8,17,30,24,16,13
monthly,2025-11,55,62,60,60,7,18,29,24,16,13
monthly,2025-12,58,65,63,63,6,19,28,23,17,13
monthly,2026-01,63,68,67,66,5,21,27,22,17,13
monthly,2026-02,65,70,69,69,5,22,27,21,17,13
monthly,2026-03,67,73,71,71,4,24,26,21,16,13
quarterly,2025-Q2,46,58,54,53,11,15,31,25,16,13
quarterly,2025-Q3,52,61,58,58,9,17,30,24,16,13
quarterly,2025-Q4,60,66,64,64,7,20,28,23,16,13
quarterly,2026-Q1,67,71,70,70,4,24,26,21,16,13
quarterly,2026-Q2F,72,76,75,75,3,26,25,20,16,13
