prompt_id,assistant_name,rank_position,capital_one_present,primary_product,competitors,response_text,mentioned_facts,modeled_signal_mix
P01,ChatGPT,3,True,Spark Cash,"Chase Ink Business Unlimited; Amex Blue Business Cash","Top picks for small businesses include Chase Ink Business Unlimited, Amex Blue Business Cash, and Capital One Spark Cash. Spark Cash is often highlighted for simple flat-rate rewards, no annual fee, and no foreign transaction fee.","annual_fee=0|rewards_rate=2% cash back|foreign_transaction_fee=0","comparison articles|structured product tables|product pages"
P01,Gemini,4,True,Spark Miles,"Chase Ink Business Preferred; Amex Blue Business Plus","A strong small-business shortlist includes Chase Ink Business Preferred, Amex Blue Business Plus, Capital One Spark Miles, and Bank of America Business Advantage Travel. Spark Miles gives 3x miles with no foreign transaction fee, but some roundups cite a $95 annual fee.","annual_fee=95|rewards_rate=3x miles|foreign_transaction_fee=0","comparison articles|financial review sites|rewards summaries"
P01,Perplexity,2,True,Spark Cash,"Chase Ink Business Unlimited; Bank of America Business Advantage Customized Cash","Capital One Spark Cash is commonly recommended for small businesses that want uncomplicated rewards. It offers 2% cash back, no annual fee, and a competitive sign-up bonus, making it a visible contender behind Chase in many recommendation sets.","annual_fee=0|rewards_rate=2% cash back|signup_bonus=$750 after qualifying spend","structured product tables|product pages|financial review sites"
P02,ChatGPT,2,True,Spark Cash,"Amex Blue Business Cash; Chase Ink Business Unlimited","For business cards with no annual fee, Capital One Spark Cash and Amex Blue Business Cash are frequent picks. Spark Cash is described as a flat-rate 2% cash back card with no annual fee and no foreign transaction fee.","annual_fee=0|rewards_rate=2% cash back|foreign_transaction_fee=0","structured product tables|comparison articles|product pages"
P02,Gemini,5,True,Spark Miles,"Amex Blue Business Plus; Chase Ink Business Cash","Some recommendations include Spark Miles for owners wanting travel rewards. It is sometimes summarized as a no annual fee business card that earns 2x miles, though visibility trails Amex and Chase in this prompt.","annual_fee=0|rewards_rate=2x miles","financial review sites|rewards summaries|comparison articles"
P02,Perplexity,0,False,,"Amex Blue Business Cash; Chase Ink Business Unlimited; Bank of America Business Advantage Customized Cash","Most lists emphasize Amex Blue Business Cash, Chase Ink Business Unlimited, and Bank of America alternatives for no annual fee business cards. Capital One is often omitted from the top recommendations in these summaries.","","comparison articles|financial review sites|structured product tables"
P03,ChatGPT,1,True,Savor Student,"Discover it Student Cash Back; Chase Freedom Student","Best student credit cards often include Capital One Savor Student, Discover it Student Cash Back, and Chase Freedom Student. Savor Student is often noted for no annual fee and 3% back on dining and entertainment.","annual_fee=0|rewards_rate=3% dining, entertainment, popular streaming and grocery stores; 1% other purchases","comparison articles|product pages|rewards summaries"
P03,Gemini,3,True,Quicksilver Student Rewards,"Discover it Student Cash Back; Bank of America Travel Rewards for Students","Capital One Quicksilver Student Rewards is a common pick for students seeking simple rewards. Some summaries describe it as having a $39 annual fee and 1.5% cash back, which can create inconsistent guidance.","annual_fee=39|rewards_rate=1.5% cash back","financial review sites|comparison articles|rewards summaries"
P03,Perplexity,2,True,Savor Student,"Discover it Student Cash Back; Chase Freedom Rise","Capital One Savor Student appears regularly in student card roundups for its category rewards and easy positioning. It is usually listed behind Discover, with no annual fee and a student-friendly bonus.","annual_fee=0|signup_bonus=$100 after qualifying spend","comparison articles|product pages|structured product tables"
P04,ChatGPT,4,True,Quicksilver Student Rewards,"Discover it Student Cash Back; Savor Student from Capital One","For student cashback cards, Discover usually leads. Capital One Quicksilver Student Rewards is still mentioned for 1.5% cash back and no annual fee.","annual_fee=0|rewards_rate=1.5% cash back","comparison articles|rewards summaries|product pages"
P04,Gemini,2,True,Savor Student,"Discover it Student Cash Back; Chase Freedom Rise","A lot of student cashback lists now surface Capital One Savor Student because of elevated everyday categories. Some writeups simplify it as 4% on dining with no annual fee.","annual_fee=0|rewards_rate=4% dining","financial review sites|comparison articles|product pages"
P04,Perplexity,3,True,Quicksilver Student Rewards,"Discover it Student Cash Back; Bank of America Customized Cash Rewards for Students","Quicksilver Student Rewards remains visible for flat-rate student cashback. It is typically described as a no annual fee option with 1.5% cash back and a small starter bonus.","annual_fee=0|rewards_rate=1.5% cash back|signup_bonus=$50 after first purchase within 3 months","structured product tables|product pages|comparison articles"
P05,ChatGPT,0,False,,"Chase Sapphire Preferred; Amex Gold; Capital One Venture Rewards","Travel rewards conversations usually center on Chase Sapphire Preferred, Amex Gold, and Capital One Venture Rewards. The monitored Capital One products in this prototype do not appear in the top response set.","","comparison articles|financial review sites|rewards summaries"
P05,Gemini,0,False,,"Chase Sapphire Preferred; Amex Gold; Discover it Miles","Travel rewards results are dominated by consumer travel cards from Chase and Amex. Spark Miles does not appear in this modeled response.","","comparison articles|financial review sites|product pages"
P05,Perplexity,4,True,Spark Miles,"Chase Sapphire Preferred; Amex Gold; Capital One Venture Rewards","Spark Miles occasionally appears in broader travel rewards lists, especially when business use cases are blended in. One summary mentions a $95 annual fee and 2x miles.","annual_fee=95|rewards_rate=2x miles","financial review sites|comparison articles|rewards summaries"
P06,ChatGPT,5,True,Spark Miles,"Capital One Venture Rewards; Chase Sapphire Preferred","For no foreign transaction fee travel cards, most results prioritize consumer travel cards. Spark Miles is sometimes included lower in the list with no foreign transaction fee and 2x miles.","foreign_transaction_fee=0|rewards_rate=2x miles","comparison articles|product pages|rewards summaries"
P06,Gemini,0,False,,"Capital One Venture Rewards; Chase Sapphire Preferred; Bank of America Travel Rewards","The leading results focus on consumer cards with no foreign transaction fee. Spark Miles is absent in this response.","","comparison articles|financial review sites|structured product tables"
